State_id,State code,State,State_name
555,2,AK,Alaska
556,2,AK,Alaska
557,2,AK,Alaska
558,2,AK,Alaska
559,2,AK,Alaska
560,2,AK,Alaska
561,2,AK,Alaska
562,2,AK,Alaska
563,2,AK,Alaska
564,2,AK,Alaska
565,2,AK,Alaska
566,2,AK,Alaska
567,2,AK,Alaska
568,2,AK,Alaska
569,2,AK,Alaska
570,2,AK,Alaska
571,2,AK,Alaska
572,2,AK,Alaska
573,2,AK,Alaska
574,2,AK,Alaska
575,2,AK,Alaska
576,2,AK,Alaska
577,2,AK,Alaska
578,2,AK,Alaska
579,2,AK,Alaska
580,2,AK,Alaska
581,2,AK,Alaska
582,2,AK,Alaska
583,2,AK,Alaska
584,2,AK,Alaska
585,2,AK,Alaska
586,2,AK,Alaska
587,2,AK,Alaska
588,2,AK,Alaska
589,2,AK,Alaska
590,2,AK,Alaska
591,2,AK,Alaska
592,2,AK,Alaska
593,2,AK,Alaska
594,2,AK,Alaska
595,2,AK,Alaska
596,2,AK,Alaska
597,2,AK,Alaska
598,2,AK,Alaska
599,2,AK,Alaska
600,2,AK,Alaska
601,2,AK,Alaska
602,2,AK,Alaska
603,2,AK,Alaska
604,2,AK,Alaska
605,2,AK,Alaska
606,2,AK,Alaska
607,2,AK,Alaska
608,2,AK,Alaska
609,2,AK,Alaska
610,2,AK,Alaska
611,2,AK,Alaska
612,2,AK,Alaska
613,2,AK,Alaska
614,2,AK,Alaska
615,2,AK,Alaska
616,2,AK,Alaska
617,2,AK,Alaska
618,2,AK,Alaska
619,2,AK,Alaska
620,2,AK,Alaska
621,2,AK,Alaska
622,2,AK,Alaska
623,2,AK,Alaska
624,2,AK,Alaska
625,2,AK,Alaska
626,2,AK,Alaska
627,2,AK,Alaska
628,2,AK,Alaska
629,2,AK,Alaska
630,2,AK,Alaska
631,2,AK,Alaska
632,2,AK,Alaska
633,2,AK,Alaska
634,2,AK,Alaska
635,2,AK,Alaska
636,2,AK,Alaska
637,2,AK,Alaska
638,2,AK,Alaska
639,2,AK,Alaska
640,2,AK,Alaska
641,2,AK,Alaska
642,2,AK,Alaska
643,2,AK,Alaska
644,2,AK,Alaska
645,2,AK,Alaska
646,2,AK,Alaska
647,2,AK,Alaska
648,2,AK,Alaska
649,2,AK,Alaska
650,2,AK,Alaska
651,2,AK,Alaska
652,2,AK,Alaska
653,2,AK,Alaska
654,2,AK,Alaska
655,2,AK,Alaska
656,2,AK,Alaska
657,2,AK,Alaska
658,2,AK,Alaska
659,2,AK,Alaska
660,2,AK,Alaska
661,2,AK,Alaska
662,2,AK,Alaska
663,2,AK,Alaska
664,2,AK,Alaska
665,2,AK,Alaska
666,2,AK,Alaska
667,2,AK,Alaska
668,2,AK,Alaska
669,2,AK,Alaska
670,2,AK,Alaska
671,2,AK,Alaska
672,2,AK,Alaska
673,2,AK,Alaska
674,2,AK,Alaska
675,2,AK,Alaska
676,2,AK,Alaska
677,2,AK,Alaska
678,2,AK,Alaska
679,2,AK,Alaska
680,4,AZ,Arizona
681,4,AZ,Arizona
682,4,AZ,Arizona
683,4,AZ,Arizona
684,4,AZ,Arizona
685,4,AZ,Arizona
686,4,AZ,Arizona
687,4,AZ,Arizona
688,4,AZ,Arizona
689,4,AZ,Arizona
690,4,AZ,Arizona
691,4,AZ,Arizona
692,4,AZ,Arizona
693,4,AZ,Arizona
694,4,AZ,Arizona
695,4,AZ,Arizona
696,4,AZ,Arizona
697,4,AZ,Arizona
698,4,AZ,Arizona
699,4,AZ,Arizona
700,4,AZ,Arizona
701,4,AZ,Arizona
702,4,AZ,Arizona
703,4,AZ,Arizona
704,4,AZ,Arizona
705,4,AZ,Arizona
706,4,AZ,Arizona
707,4,AZ,Arizona
708,4,AZ,Arizona
709,4,AZ,Arizona
710,4,AZ,Arizona
711,4,AZ,Arizona
712,4,AZ,Arizona
713,4,AZ,Arizona
714,4,AZ,Arizona
715,4,AZ,Arizona
716,4,AZ,Arizona
717,4,AZ,Arizona
718,4,AZ,Arizona
719,4,AZ,Arizona
720,4,AZ,Arizona
721,4,AZ,Arizona
722,4,AZ,Arizona
723,4,AZ,Arizona
724,4,AZ,Arizona
725,4,AZ,Arizona
726,4,AZ,Arizona
727,4,AZ,Arizona
728,4,AZ,Arizona
729,4,AZ,Arizona
730,4,AZ,Arizona
731,4,AZ,Arizona
732,4,AZ,Arizona
733,4,AZ,Arizona
734,4,AZ,Arizona
735,4,AZ,Arizona
736,4,AZ,Arizona
737,4,AZ,Arizona
738,4,AZ,Arizona
739,4,AZ,Arizona
740,4,AZ,Arizona
741,4,AZ,Arizona
742,4,AZ,Arizona
743,4,AZ,Arizona
744,4,AZ,Arizona
745,4,AZ,Arizona
746,4,AZ,Arizona
747,4,AZ,Arizona
748,4,AZ,Arizona
749,4,AZ,Arizona
750,4,AZ,Arizona
751,4,AZ,Arizona
752,4,AZ,Arizona
753,4,AZ,Arizona
754,4,AZ,Arizona
755,4,AZ,Arizona
756,4,AZ,Arizona
757,4,AZ,Arizona
758,4,AZ,Arizona
759,4,AZ,Arizona
760,4,AZ,Arizona
761,4,AZ,Arizona
762,4,AZ,Arizona
763,4,AZ,Arizona
764,4,AZ,Arizona
765,4,AZ,Arizona
766,4,AZ,Arizona
767,4,AZ,Arizona
